"はじまる",始まる,"To Begin",vocabulary
"はじめに",始めに,"In The Beginning",vocabulary
"まつ",待つ,"To Wait",vocabulary
"べんきょう",勉強,"Studies",vocabulary
"かてい",家庭,"Family",vocabulary
"にわ",庭,"Garden",vocabulary
"いき",息,"Breath",vocabulary
"むすこ",息子,"Son",vocabulary
"りそく",利息,"Interest",vocabulary
"たび",旅,"Trip",vocabulary
"りょこう",旅行,"Trip",vocabulary
"ね",根,"Root",vocabulary
"こんぽん",根本,"Root",vocabulary
"やね",屋根,"Roof",vocabulary
"こんき",根気,"Patience",vocabulary
"だいこん",大根,"Daikon",vocabulary
"ながす",流す,"To Flow",vocabulary
"りゅうこう",流行,"Trend",vocabulary
"いちりゅう",一流,"First Rate",vocabulary
"ほんりゅう",本流,"Mainstream",vocabulary
"けす",消す,"To Extinguish",vocabulary
"ばい",〜倍,"Times",vocabulary
"にばい",二倍,"Double",vocabulary
"てんいん",店員,"Shop Staff",vocabulary
"ぜんいん",全員,"All Members",vocabulary
"しゃいん",社員,"Employee",vocabulary
"かいしゃいん",会社員,"Company Employee",vocabulary
"ひろしま",広島,"Hiroshima",vocabulary
"まつり",祭,"Festival",vocabulary
"ぶんしょう",文章,"Writing",vocabulary
"だいにしょう",第二章,"Chapter Two",vocabulary
"だいいち",第一,"The First",vocabulary
"だいいちい",第一位,"First Place",vocabulary
"とうきょうと",東京都,"Tokyo Metropolis",vocabulary
"きょうと",京都,"Kyoto",vocabulary
"うごく",動く,"To Move",vocabulary
"どうぶつ",動物,"Animal",vocabulary
"うんどう",運動,"Exercise",vocabulary
"しょうばい",商売,"Business",vocabulary
"しょうにん",商人,"Merchant",vocabulary
"わるい",悪い,"Bad",vocabulary
"あくにん",悪人,"Bad Person",vocabulary
"あくじょ",悪女,"Evil Woman",vocabulary
"さいあく",最悪,"The Worst",vocabulary
"かぞく",家族,"Family",vocabulary
"みんぞく",民族,"Ethnic Group",vocabulary
"けつぞく",血族,"Blood Relative",vocabulary
"ふかい",深い,"Deep",vocabulary
"しんや",深夜,"Middle Of The Night",vocabulary
"すいしん",水深,"Water Depth",vocabulary
"さいしん",最深,"Deepest",vocabulary
"たま",球,"Sphere",vocabulary
"やきゅう",野球,"Baseball",vocabulary
"どうわ",童話,"Children's Story",vocabulary
"たいよう",太陽,"Sun",vocabulary
"いっかい",一階,"First Floor",vocabulary
"にかい",二階,"Second Floor",vocabulary
"よんじゅうにかい",四十二階,"Forty Second Floor",vocabulary
"さむい",寒い,"Cold",vocabulary
"あつい",暑い,"Hot Weather",vocabulary
"きたい",期待,"Expectation",vocabulary
"がっき",学期,"School Term",vocabulary
"じき",時期,"Time",vocabulary
"しょくぶつ",植物,"Plant",vocabulary
"はいしゃ",歯医者,"Dentist",vocabulary
"むしば",虫歯,"Cavity",vocabulary
"は",歯,"Tooth",vocabulary
"あたたかい",温かい,"Warm",vocabulary
"おんせん",温泉,"Hot Springs",vocabulary
"おんど",温度,"Temperature",vocabulary
"くうこう",空港,"Airport",vocabulary
"ちゃのゆ",茶の湯,"Tea Ceremony",vocabulary
"ゆげ",湯気,"Steam",vocabulary
"のぼる",登る,"To Climb",vocabulary
"とざん",登山,"Mountain Climbing",vocabulary
"きる",着る,"To Wear",vocabulary
"つく",着く,"To Arrive",vocabulary
"みじかい",短い,"Short",vocabulary
"たんとう",短刀,"Short Sword",vocabulary
"たんき",短期,"Short Period",vocabulary
"いずみ",泉,"Spring",vocabulary
"あう",合う,"To Suit",vocabulary
"さけのみ",酒飲み,"Alcoholic",vocabulary
"なきごえ",鳴き声,"Animal Cry",vocabulary
"のみもの",飲み物,"Beverage",vocabulary
"きこえる",聞こえる,"Hearable",vocabulary
"しんぱいごと",心配事,"Cares",vocabulary
"おんよみ",音読み,"Chinese Reading",vocabulary
"うんてんしゅ",運転手,"Driver",vocabulary
"おちば",落ち葉,"Fallen Leaves",vocabulary
"ちちおや",父親,"Father",vocabulary
"ははおや",母親,"Mother",vocabulary
"さんばんめ",三番目,"Third Thing",vocabulary
"はなしかた",話し方,"Way Of Speaking",vocabulary
"ころぶ",転ぶ,"To Fall Over",vocabulary
"あつまる",集まる,"To Come Together",vocabulary
"おとす",落とす,"To Drop Something",vocabulary
"おわり",終わり,"The End",vocabulary
"しゅうでん",終電,"Last Train",vocabulary
"あく",開く,"To Open",vocabulary
"おこる",起こる,"To Occur",vocabulary
"しんぱいする",心配する,"To Worry",vocabulary
"なる",鳴る,"To Ring",vocabulary
"うたう",歌う,"To Sing",vocabulary
"かって",勝手,"As One Pleases",vocabulary
"つごう",都合,"At Your Convenience",vocabulary
"ようきゅうする",要求する,"To Demand",vocabulary
"しょうか",消化,"Digestion",vocabulary
"うん",運,"Luck",vocabulary
"きおん",気温,"Temperature",vocabulary
"かい",〜階,"Floor",vocabulary
"とし",都市,"City",vocabulary
"ことば",言葉,"Word",vocabulary
"ぼく",僕,"I",vocabulary
"ちきゅう",地球,"The Earth",vocabulary
"たしろじま",田代島,"Tashirojima",vocabulary
"かいいん",会員,"Member",vocabulary
"せんいん",船員,"Sailor",vocabulary
"とかい",都会,"City",vocabulary
"しま",島,"Island",vocabulary
"おち",落ち,"Conclusion",vocabulary
"ようき",陽気,"Cheerful",vocabulary
"きかん",期間,"Period",vocabulary
"こうどう",行動,"Action",vocabulary
"あつまり",集まり,"Gathering",vocabulary
"うえる",植える,"To Plant",vocabulary
"おやぶん",親分,"Boss",vocabulary
"かおもじ",顔文字,"Kaomoji",vocabulary
"だいがくいんせい",大学院生,"Graduate Student",vocabulary
"みなと",港,"Harbor",vocabulary
"ゆ",湯,"Hot Water",vocabulary
"かつどう",活動,"Action",vocabulary
"さいじつ",祭日,"National Holiday",vocabulary
"ちゃくちゃく",着々,"Steadily",vocabulary
