"かなしむ",悲しむ,"To Be Sad",vocabulary
"よろこぶ",喜ぶ,"To Rejoice",vocabulary
"けんちくか",建築家,"Architect",vocabulary
"きげんぜん",紀元前,"Before Christ",vocabulary
"あさごはん",朝ご飯,"Breakfast",vocabulary
"なきむし",泣き虫,"Crybaby",vocabulary
"なきごえ",泣き声,"Crying",vocabulary
"ばんごはん",晩ご飯,"Dinner",vocabulary
"ひるごはん",昼ご飯,"Lunch",vocabulary
"ねがいごと",願い事,"One's Wish",vocabulary
"みぎがわ",右側,"Right Side",vocabulary
"ひだりがわ",左側,"Left Side",vocabulary
"うちがわ",内側,"Inside",vocabulary
"そとがわ",外側,"Outside",vocabulary
"りょうがわ",両側,"Both Sides",vocabulary
"ひがしがわ",東側,"East Side",vocabulary
"にしがわ",西側,"West",vocabulary
"へいいん",兵員,"Military Personnel",vocabulary
"へいき",兵器,"Arms",vocabulary
"へいし",兵士,"Soldier",vocabulary
"べいへい",米兵,"US Soldier",vocabulary
"げんいん",原因,"Cause",vocabulary
"げんし",原子,"Atom",vocabulary
"げんさく",原作,"Original Work",vocabulary
"ないいん",内因,"Internal Cause",vocabulary
"しゅいん",主因,"Main Cause",vocabulary
"あくいんあっか",悪因悪果,"Evil Breeds Evil",vocabulary
"しょくどう",食堂,"Cafeteria",vocabulary
"しお",塩,"Salt",vocabulary
"しおみず",塩水,"Salt Water",vocabulary
"しおあじ",塩味,"Salty Taste",vocabulary
"かんきん",官金,"Government Funds",vocabulary
"がいこうかん",外交官,"Diplomat",vocabulary
"さっする",察する,"To Guess",vocabulary
"さっち",察知,"Inference",vocabulary
"せき",席,"Seat",vocabulary
"けっせき",欠席,"Absence",vocabulary
"しゅっせき",出席,"Attendance",vocabulary
"くうせき",空席,"Open Seat",vocabulary
"つねに",常に,"Always",vocabulary
"にちじょう",日常,"Everyday Life",vocabulary
"じょうしき",常識,"Common Sense",vocabulary
"ほす",干す,"To Dry",vocabulary
"かんてん",干天,"Dry Weather",vocabulary
"かんしょう",干渉,"Interference",vocabulary
"まぼろし",幻,"Illusion",vocabulary
"げんかく",幻覚,"Hallucination",vocabulary
"げんそう",幻想,"Fantasy",vocabulary
"そこ",底,"Bottom",vocabulary
"しんそこ",心底,"Bottom Of One's Heart",vocabulary
"かわぞこ",川底,"Riverbed",vocabulary
"たつ",建つ,"To Be Erected",vocabulary
"たてもの",建物,"Building",vocabulary
"たてまえ",建前,"Public Behavior",vocabulary
"こい",恋,"Love",vocabulary
"しつれん",失恋,"Heartbreak",vocabulary
"あい",愛,"Love",vocabulary
"あいこくしん",愛国心,"Patriotism",vocabulary
"れんあい",恋愛,"Love",vocabulary
"じあい",自愛,"Self Love",vocabulary
"せいあい",性愛,"Sexual Love",vocabulary
"あいちけん",愛知県,"Aichi Prefecture",vocabulary
"やぶれる",敗れる,"To Be Defeated",vocabulary
"しっぱい",失敗,"Failure",vocabulary
"しょうはい",勝敗,"Victory Or Defeat",vocabulary
"はいしゃ",敗者,"Loser",vocabulary
"ぜひ",是非,"Absolutely",vocabulary
"くだもの",果物,"Fruit",vocabulary
"けっか",結果,"Result",vocabulary
"さかえる",栄える,"To Flourish",vocabulary
"こうえい",光栄,"Honor",vocabulary
"えいこう",栄光,"Glory",vocabulary
"うめ",梅,"Ume",vocabulary
"うめしゅ",梅酒,"Ume Wine",vocabulary
"こうしょう",交渉,"Negotiation",vocabulary
"むりょく",無力,"Powerless",vocabulary
"むきゅう",無休,"No Holidays",vocabulary
"むめい",無名,"Anonymous",vocabulary
"ぶじ",無事,"Safe And Sound",vocabulary
"むち",無知,"Ignorance",vocabulary
"むちゃ",無茶,"Absurd",vocabulary
"むりょう",無料,"Free",vocabulary
"ほそい",細い,"Thin",vocabulary
"けっきょく",結局,"After All",vocabulary
"しょめい",署名,"Signature",vocabulary
"くすり",薬,"Medicine",vocabulary
"やくがく",薬学,"Study Of Pharmacy",vocabulary
"やくほう",薬方,"Prescription",vocabulary
"やくぶつ",薬物,"Medicines",vocabulary
"やくよう",薬用,"Medicinal",vocabulary
"きょえいしん",虚栄心,"Vanity",vocabulary
"きょじゃく",虚弱,"Weak",vocabulary
"じかく",自覚,"Consciousness",vocabulary
"かんかく",感覚,"Senses",vocabulary
"せつめい",説明,"Explanation",vocabulary
"しょうせつ",小説,"Novel",vocabulary
"でんせつ",伝説,"Legend",vocabulary
"かせつ",仮説,"Hypothesis",vocabulary
"ずせつ",図説,"Illustration",vocabulary
"ちしき",知識,"Knowledge",vocabulary
"いしき",意識,"Awareness",vocabulary
"けいさつ",警察,"Police",vocabulary
"ひじょう",非常,"Emergency",vocabulary
"はな",鼻,"Nose",vocabulary
"はなくそ",鼻くそ,"Snot",vocabulary
"はなさき",鼻先,"Tip Of The Nose",vocabulary
"はなうた",鼻歌,"Humming",vocabulary
"はなぢ",鼻血,"Nosebleed",vocabulary
"すいへい",水兵,"Navy Sailor",vocabulary
"くわしい",詳しい,"Detailed",vocabulary
"しょうさい",詳細,"Details",vocabulary
"ふしょう",不詳,"Unknown",vocabulary
"げき",劇,"Drama",vocabulary
"きげき",喜劇,"Comedy",vocabulary
"ひげき",悲劇,"Tragedy",vocabulary
"げきてき",劇的,"Dramatic",vocabulary
"げきじょう",劇場,"Theater",vocabulary
"かげき",歌劇,"Opera",vocabulary
"まずい",不味い,"Bad Tasting",vocabulary
"へい",兵,"Soldier",vocabulary
"むり",無理,"Impossible",vocabulary
"そば",側,"Side",vocabulary
"かわる",変わる,"To Be Changed",vocabulary
"いさむ",勇む,"To Be Encouraged",vocabulary
"なし",無し,"Without",vocabulary
"かんけつ",完結,"Conclusion",vocabulary
"むごん",無言,"Silence",vocabulary
"あいする",愛する,"To Love",vocabulary
"あいかわらず",相変わらず,"As Usual",vocabulary
"あいじん",愛人,"Lover",vocabulary
"むなしい",虚しい,"Empty",vocabulary
"はてる",果てる,"To End",vocabulary
"あいじょう",愛情,"Love",vocabulary
