"あめりかじん",アメリカ人,"American",vocabulary
"ふらんすじん",フランス人,"Frenchman",vocabulary
"びーだま",ビー玉,"Marble",vocabulary
"うまれる",生まれる,"To Be Born",vocabulary
"うむ",生む,"To Give Birth",vocabulary
"いきる",生きる,"To Live",vocabulary
"なま",生,"Fresh",vocabulary
"いちまん",一万,"Ten Thousand",vocabulary
"にまん",二万,"Twenty Thousand",vocabulary
"じゅうまん",十万,"One Hundred Thousand",vocabulary
"いま",今,"Now",vocabulary
"きょう",今日,"Today",vocabulary
"こんげつ",今月,"This Month",vocabulary
"もと",元,"Origin",vocabulary
"はんぶん",半分,"Half",vocabulary
"わかる",分かる,"To Understand",vocabulary
"わける",分ける,"To Separate",vocabulary
"ふん",分,"Minute",vocabulary
"きれる",切れる,"To Be Cut",vocabulary
"たいせつ",大切,"Important",vocabulary
"きる",切る,"To Cut",vocabulary
"ゆうじん",友人,"Friend",vocabulary
"ふとい",太い,"Fat",vocabulary
"ふとる",太る,"To Get Fat",vocabulary
"すこし",少し,"A Little",vocabulary
"すくない",少ない,"A Few",vocabulary
"ひく",引く,"To Pull",vocabulary
"こころ",心,"Heart",vocabulary
"とぐち",戸口,"Doorway",vocabulary
"かた",方,"Way",vocabulary
"とまる",止まる,"To Stop",vocabulary
"とめる",止める,"To Stop Something",vocabulary
"ちゅうし",中止,"Suspension",vocabulary
"け",毛,"Fur",vocabulary
"ちち",父,"Father",vocabulary
"おとうさん",お父さん,"Father",vocabulary
"うし",牛,"Cow",vocabulary
"ふゆ",冬,"Winter",vocabulary
"きた",北,"North",vocabulary
"はん",半,"Half",vocabulary
"ふるい",古い,"Old",vocabulary
"ちゅうこ",中古,"Secondhand",vocabulary
"いちだい",一台,"One Machine",vocabulary
"にだい",二台,"Two Machines",vocabulary
"ごだい",五台,"Five Machines",vocabulary
"じゅうだい",十台,"Ten Machines",vocabulary
"そと",外,"Outside",vocabulary
"がいじん",外人,"Foreigner",vocabulary
"はずれ",外れ,"Extremity",vocabulary
"はずれる",外れる,"To Be Disconnected",vocabulary
"し",市,"City",vocabulary
"しりつ",市立,"Municipal",vocabulary
"しあとるし",シアトル市,"Seattle",vocabulary
"ひろい",広い,"Wide",vocabulary
"はは",母,"Mother",vocabulary
"おかあさん",お母さん,"Mother",vocabulary
"もちいる",用いる,"To Utilize",vocabulary
"こうよう",公用,"Government Business",vocabulary
"や",矢,"Arrow",vocabulary
"じんせい",人生,"One's Life",vocabulary
"いぎりすじん",イギリス人,"British Person",vocabulary
"うち",内,"Inside",vocabulary
"だい",〜台,"Big Machine",vocabulary
"にん",〜人,"Number Of People",vocabulary
"しょうじょ",少女,"Girl",vocabulary
"まん",万,"Ten Thousand",vocabulary
"よう",用,"Task",vocabulary
"おとなしい",大人しい,"Obedient",vocabulary
"と",戸,"Japanese Style Door",vocabulary
"おんなのひと",女の人,"Woman",vocabulary
