"みぎて",右手,"Right Hand",vocabulary
"よっか",四日,"Fourth Day",vocabulary
"よっつ",四つ,"Four Things",vocabulary
"よんせん",四千,"Four Thousand",vocabulary
"よんじゅう",四十,"Forty",vocabulary
"ひだりて",左手,"Left Hand",vocabulary
"いし",石,"Stone",vocabulary
"やすみ",休み,"Rest",vocabulary
"やすむ",休む,"To Rest",vocabulary
"きゅうし",休止,"Pause",vocabulary
"きゅうじつ",休日,"Holiday",vocabulary
"まず",先ず,"First Of All",vocabulary
"さき",先,"Previous",vocabulary
"せんせんげつ",先々月,"Month Before Last",vocabulary
"せんげつ",先月,"Last Month",vocabulary
"せんじつ",先日,"The Other Day",vocabulary
"せんせい",先生,"Teacher",vocabulary
"めいじん",名人,"Expert",vocabulary
"みょうじ",名字,"Surname",vocabulary
"じ",字,"Character",vocabulary
"ふとじ",太字,"Bold Letter",vocabulary
"もじ",文字,"Letter (Of The Alphabet)",vocabulary
"いちもんじ",一文字,"Straight Line",vocabulary
"にせんじゅういちねん",２０１１年,"Year 2011",vocabulary
"ねんない",年内,"Within A Year",vocabulary
"ねんじゅう",年中,"Year Round",vocabulary
"いちねんせい",一年生,"First Year Student",vocabulary
"しょうねん",少年,"Boy",vocabulary
"きょねん",去年,"Last Year",vocabulary
"はやい",早い,"Early",vocabulary
"そうそう",早々,"As Soon As",vocabulary
"き",気,"Spirit",vocabulary
"きにいる",気に入る,"To Be Pleased With",vocabulary
"いっき",一気,"One Breath",vocabulary
"きぶん",気分,"Feeling",vocabulary
"にんき",人気,"Popular",vocabulary
"げんき",元気,"Energy",vocabulary
"てんき",天気,"Weather",vocabulary
"ほんき",本気,"Serious",vocabulary
"へいき",平気,"Calm",vocabulary
"いっぽんぎ",一本気,"One Track Mind",vocabulary
"ひゃくまん",百万,"Million",vocabulary
"よんひゃく",四百,"Four Hundred",vocabulary
"ごひゃく",五百,"Five Hundred",vocabulary
"にひゃく",二百,"Two Hundred",vocabulary
"たけのこ",竹の子,"Bamboo Shoots",vocabulary
"たけ",竹,"Bamboo",vocabulary
"いと",糸,"Thread",vocabulary
"みみ",耳,"Ear",vocabulary
"むし",虫,"Bug",vocabulary
"むら",村,"Village",vocabulary
"むらびと",村人,"Villager",vocabulary
"おとこ",男,"Man",vocabulary
"まち",町,"Town",vocabulary
"はな",花,"Flower",vocabulary
"はなび",花火,"Fireworks",vocabulary
"はなみ",花見,"Viewing Cherry Blossoms",vocabulary
"みる",見る,"To See",vocabulary
"みえる",見える,"To Be Seen",vocabulary
"みせる",見せる,"To Show",vocabulary
"みわける",見分ける,"To Distinguish",vocabulary
"みかた",見方,"Way Of Seeing",vocabulary
"つきみ",月見,"Moon Viewing",vocabulary
"かい",貝,"Shell",vocabulary
"あか",赤,"Red",vocabulary
"あかちゃん",赤ちゃん,"Baby",vocabulary
"たりる",足りる,"To Be Enough",vocabulary
"あし",足,"Foot",vocabulary
"ふそく",不足,"Shortage",vocabulary
"くるま",車,"Car",vocabulary
"しゃない",車内,"Inside The Car",vocabulary
"よ",世,"World",vocabulary
"にせい",二世,"Second Generation",vocabulary
"さんせい",三世,"Third Generation",vocabulary
"おもに",主に,"Mainly",vocabulary
"しゅじん",主人,"Head Of Household",vocabulary
"しかた",仕方,"Method",vocabulary
"ほか",他,"Other",vocabulary
"たにん",他人,"Another Person",vocabulary
"かわる",代わる,"To Replace",vocabulary
"いちだい",一代,"Lifetime",vocabulary
"だいよう",代用,"Substitution",vocabulary
"うつす",写す,"To Copy",vocabulary
"うつる",写る,"To Be Photographed",vocabulary
"ごう",号,"Number",vocabulary
"ちゅうおう",中央,"Center",vocabulary
"たいら",平ら,"Flat",vocabulary
"へいじつ",平日,"Weekdays",vocabulary
"うつ",打つ,"To Hit",vocabulary
"いちだ",一打,"One Strike",vocabulary
"こおり",氷,"Ice",vocabulary
"かきごおり",かき氷,"Shaved Ice",vocabulary
"もうす",申す,"To Say Humbly",vocabulary
"もうしもうし",申し申し,"Telephone Hello",vocabulary
"さら",皿,"Plate",vocabulary
"こざら",小皿,"Small Plate",vocabulary
"おれい",お礼,"Thanks",vocabulary
"ふせい",不正,"Injustice",vocabulary
"こうし",子牛,"Calf",vocabulary
"きって",切手,"Postage Stamp",vocabulary
"ひきわけ",引き分け,"Tie",vocabulary
"とし",年,"Year",vocabulary
"な",名,"Name",vocabulary
"たから",宝,"Treasure",vocabulary
"ほうせき",宝石,"Jewel",vocabulary
"あかい",赤い,"Red",vocabulary
"しろい",白い,"White",vocabulary
"ひゃく",百,"Hundred",vocabulary
"はつか",二十日,"Twentieth Day",vocabulary
"まるごと",丸ごと,"In Its Entirety",vocabulary
"でかける",出かける,"To Go Out",vocabulary
"たいき",大気,"Atmosphere",vocabulary
