こころもち	心持ち	Feeling	vocabulary	adverb, noun
きょうどう	共同	Cooperation	vocabulary	noun, する verb, の adjective
かち	勝ち	Victory	vocabulary	noun
せんそう	戦争	War	vocabulary	noun, する verb
つたえる	伝える	To Transmit	vocabulary	transitive verb, ichidan verb
きょうゆう	共有	Shared	vocabulary	noun, する verb, の adjective
どりょく	努力	Great Effort	vocabulary	noun, する verb
でんぱ	電波	Reception	vocabulary	noun
みおくる	見送る	To See Off	vocabulary	transitive verb, godan verb
おくじょう	屋上	Rooftop	vocabulary	noun
したく	支度	Preparation	vocabulary	noun, する verb
しょほ	初歩	Basics	vocabulary	noun, の adjective
あらた	新た	New	vocabulary	adverb, な adjective
せいよう	西洋	The West	vocabulary	noun, の adjective
ほうそうする	放送する	To Broadcast	vocabulary	する verb
なかま	仲間	Companion	vocabulary	noun
きょうつうてん	共通点	Common Point	vocabulary	noun
せいこう	成功	Success	vocabulary	noun, する verb
くろう	苦労	Hardship	vocabulary	noun, する verb, な adjective
いのち	命	Life	vocabulary	noun
めいれい	命令	Order	vocabulary	noun, する verb
かいほうする	開放する	To Open Up	vocabulary	する verb
ちゅうい	注意	Caution	vocabulary	noun, する verb
ちゅうもん	注文	Order	vocabulary	noun, する verb, の adjective
きょういく	教育	Education	vocabulary	noun, する verb, の adjective
さす	指す	To Point	vocabulary	transitive verb, godan verb
していする	指定する	To Appoint	vocabulary	する verb
じんじゃ	神社	Shinto Shrine	vocabulary	noun
こうきゅう	高級	High Class	vocabulary	noun, な adjective, の adjective
きそう	競う	To Compete	vocabulary	intransitive verb, godan verb
はたらく	働く	To Work	vocabulary	intransitive verb, godan verb
しごと	仕事	Job	vocabulary	noun, する verb, の adjective
けっていする	決定する	To Decide	vocabulary	する verb
くるしむ	苦しむ	To Suffer	vocabulary	intransitive verb, godan verb
きづく	気付く	To Realize	vocabulary	godan verb
うけつけ	受付	Receptionist	vocabulary	noun
にがて	苦手	Hard To Deal With	vocabulary	noun, な adjective
