つたえる	伝える	To Transmit	vocabulary
みおくる	見送る	To See Off	vocabulary
さす	指す	To Point	vocabulary
きそう	競う	To Compete	vocabulary
はたらく	働く	To Work	vocabulary
くるしむ	苦しむ	To Suffer	vocabulary
きづく	気付く	To Realize	vocabulary
ためす	試す	To Attempt	vocabulary
かよう	通う	To Commute	vocabulary
あらそう	争う	To Compete	vocabulary
なる	成る	To Become	vocabulary
きく	利く	To Work Well	vocabulary
はなす	放す	To Release	vocabulary
そそぐ	注ぐ	To Pour	vocabulary
そだつ	育つ	To Be Raised	vocabulary
ひろう	拾う	To Pick Up	vocabulary
おう	追う	To Follow	vocabulary
つたわる	伝わる	To Be Transmitted	vocabulary
かえる	返る	To Be Returned	vocabulary
おこる	起こる	To Occur	vocabulary
のぼる	登る	To Climb	vocabulary
あう	合う	To Suit	vocabulary
ころぶ	転ぶ	To Fall Over	vocabulary
あく	開く	To Open	vocabulary
ながす	流す	To Flow	vocabulary
うごく	動く	To Move	vocabulary
きる	着る	To Wear	vocabulary
つく	着く	To Arrive	vocabulary
あつまる	集まる	To Come Together	vocabulary
おとす	落とす	To Drop Something	vocabulary
なる	鳴る	To Ring	vocabulary
うたう	歌う	To Sing	vocabulary
うえる	植える	To Plant	vocabulary
はじまる	始まる	To Begin	vocabulary
まつ	待つ	To Wait	vocabulary
けす	消す	To Extinguish	vocabulary
きこえる	聞こえる	Hearable	vocabulary
たたかう	戦う	To Fight	vocabulary
おいかける	追いかける	To Chase	vocabulary
あやまる	謝る	To Apologize	vocabulary
やしなう	養う	To Foster	vocabulary
てつだう	手伝う	To Help	vocabulary
わかれる	別れる	To Separate	vocabulary
はなれる	放れる	To Be Released	vocabulary
かんじる	感じる	To Feel	vocabulary
うつる	映る	To Be Reflected	vocabulary
ころす	殺す	To Kill	vocabulary
えらぶ	選ぶ	To Choose	vocabulary
みかえる	見返る	To Look Back At	vocabulary
そだてる	育てる	To Bring Up	vocabulary
おいつく	追い付く	To Catch Up With	vocabulary
またせる	待たせる	To Make Someone Wait	vocabulary
まにあう	間に合う	To Be In Time For	vocabulary
おちつく	落ち着く	To Calm Down	vocabulary
きえる	消える	To Disappear	vocabulary
ながれる	流れる	To Stream	vocabulary
うごかす	動かす	To Move Something	vocabulary
つける	着ける	To Put On	vocabulary
あたためる	温める	To Warm Up	vocabulary
おこす	起こす	To Wake Someone Up	vocabulary
あわせる	合わせる	To Join Together	vocabulary
まいる	参る	To Come	vocabulary
かこむ	囲む	To Surround	vocabulary
おる	折る	To Fold	vocabulary
のぞむ	望む	To Wish	vocabulary
のこる	残る	To Remain Behind	vocabulary
このむ	好む	To Be Fond Of	vocabulary
しんじる	信じる	To Believe	vocabulary
かえる	帰る	To Return Home	vocabulary
たてる	建てる	To Build	vocabulary
はれる	晴れる	To Clear Up	vocabulary
なく	泣く	To Cry	vocabulary
うつす	映す	To Project	vocabulary
かえる	変える	To Change	vocabulary
みかえす	見返す	To Look Back At	vocabulary
はなつ	放つ	To Fire	vocabulary
ととのえる	整える	To Arrange	vocabulary
