なくなる	亡くなる	To Pass Away	vocabulary
むく	向く	To Face	vocabulary
ある	有る	To Have	vocabulary
しぬ	死ぬ	To Die	vocabulary
あるく	歩く	To Walk	vocabulary
なおす	直す	To Fix	vocabulary
なおる	直る	To Be Fixed	vocabulary
おもう	思う	To Think	vocabulary
たべる	食べる	To Eat	vocabulary
くびになる	首になる	To Get Fired	vocabulary
できる	出来る	To Be Able To Do	vocabulary
かえる	代える	To Replace	vocabulary
たす	足す	To Add	vocabulary
しる	知る	To Know	vocabulary
とおる	通る	To Pass	vocabulary
つける	付ける	To Attach	vocabulary
うしなう	失う	To Lose	vocabulary
みあたる	見当たる	To Be Found	vocabulary
おしえる	教える	To Teach	vocabulary
かける	欠ける	To Lack	vocabulary
ひかる	光る	To Shine	vocabulary
まわす	回す	To Turn	vocabulary
ばける	化ける	To Transform	vocabulary
ささえる	支える	To Support	vocabulary
ちかづく	近づく	To Get Close	vocabulary
まじる	交じる	To Be Mixed	vocabulary
まじわる	交わる	To Intersect	vocabulary
たすける	助ける	To Help	vocabulary
かぞえる	数える	To Count	vocabulary
おもいだす	思い出す	To Remember	vocabulary
できあがる	出来上がる	To Be Finished	vocabulary
はしりまわる	走り回る	To Run Around	vocabulary
あてる	当てる	To Guess	vocabulary
つける	点ける	To Turn On	vocabulary
すむ	住む	To Live	vocabulary
やくにたつ	役に立つ	To Be Useful	vocabulary
きめる	決める	To Decide	vocabulary
なげる	投げる	To Throw	vocabulary
こたえる	答える	To Answer	vocabulary
かう	買う	To Buy	vocabulary
はなす	話す	To Speak	vocabulary
まがる	曲がる	To Be Bent	vocabulary
みなおす	見直す	To Reevaluate	vocabulary
まげる	曲げる	To Bend	vocabulary
むける	向ける	To Turn Towards	vocabulary
まける	負ける	To Lose	vocabulary
あらわす	表す	To Express	vocabulary
つく	付く	To Be Attached	vocabulary
かえす	返す	To Return	vocabulary
つかう	使う	To Use	vocabulary
もつ	持つ	To Hold	vocabulary
おくる	送る	To Send	vocabulary
みつける	見付ける	To Find	vocabulary
たもつ	保つ	To Preserve	vocabulary
こころみる	試みる	To Try	vocabulary
いる	要る	To Need	vocabulary
かかす	欠かす	To Miss	vocabulary
うる	売る	To Sell	vocabulary
うける	受ける	To Receive	vocabulary
およぐ	泳ぐ	To Swim	vocabulary
のる	乗る	To Ride	vocabulary
のせる	乗せる	To Give A Ride	vocabulary
かつ	勝つ	To Win	vocabulary
うれる	売れる	To Be Sold	vocabulary
とおす	通す	To Let Pass	vocabulary
あつめる	集める	To Collect	vocabulary
すすむ	進む	To Advance	vocabulary
きまる	決まる	To Be Decided	vocabulary
やむ	病む	To Be Sick	vocabulary
ならう	習う	To Learn	vocabulary
はこぶ	運ぶ	To Carry	vocabulary
よむ	読む	To Read	vocabulary
であう	出会う	To Meet By Chance	vocabulary
くばる	配る	To Distribute	vocabulary
おわる	終わる	To End	vocabulary
ころがる	転がる	To Roll	vocabulary
あける	開ける	To Open	vocabulary
きく	聞く	To Hear	vocabulary
しらべる	調べる	To Investigate	vocabulary
なげつける	投げ付ける	To Throw Against	vocabulary
もとめる	求める	To Want	vocabulary
かたる	語る	To Talk	vocabulary
はじめる	始める	To Begin	vocabulary
おきる	起きる	To Wake Up	vocabulary
おちる	落ちる	To Fall Down	vocabulary
のむ	飲む	To Drink	vocabulary
なく	鳴く	To Chirp	vocabulary
たすかる	助かる	To Be Helped	vocabulary
たのしむ	楽しむ	To Enjoy	vocabulary
ばかす	化かす	To Bewitch	vocabulary
