"い",偉,"Greatness",kanji
"ちょう",頂,"Summit",kanji
"しょう",召,"Call",kanji
"はさ",挟,"Between",kanji
"こ",枯,"Wither",kanji
"ふつ",沸,"Boil",kanji
"たく",濯,"Wash",kanji
"そう",燥,"Dry Up",kanji
"びん",瓶,"Bottle",kanji
"こう",耕,"Plow",kanji
"こう",肯,"Agreement",kanji
"し",脂,"Fat",kanji
"ふ",膚,"Skin",kanji
"けん",軒,"House Counter",kanji
"なん",軟,"Soft",kanji
"こう",郊,"Suburbs",kanji
"すみ",隅,"Corner",kanji
"せき",隻,"Ship Counter",kanji
"てい",邸,"Residence",kanji
"ぐん",郡,"County",kanji
"しゃく",釈,"Explanation",kanji
"ぼう",肪,"Obese",kanji
"かん",喚,"Scream",kanji
"ひめ",媛,"Princess",kanji
"てい",貞,"Chastity",kanji
"げん",玄,"Mysterious",kanji
"みょう",苗,"Seedling",kanji
"か",渦,"Whirlpool",kanji
"じ",慈,"Mercy",kanji
"えり",襟,"Collar",kanji
"れん",蓮,"Lotus",kanji
"りょう",亮,"Clear",kanji
"そう",聡,"Wise",kanji
"うら",浦,"Bay",kanji
"つか",塚,"Mound",kanji
"かん",陥,"Cave In",kanji
"かん",貫,"Pierce",kanji
"は",覇,"Leadership",kanji
"ろ",呂,"Bath",kanji
"いばら",茨,"Briar",kanji
"よう",擁,"Embrace",kanji
"こ",孤,"Orphan",kanji
"ばい",賠,"Compensation",kanji
"さ",鎖,"Chain",kanji
"ふん",噴,"Erupt",kanji
"しょう",祥,"Auspicious",kanji
"せい",牲,"Offering",kanji
"ちつ",秩,"Order",kanji
"さ",唆,"Instigate",kanji
"ぼう",膨,"Swell",kanji
"ほう",芳,"Perfume",kanji
"こう",恒,"Constant",kanji
"りん",倫,"Ethics",kanji
"ちん",陳,"Exhibit",kanji
"す",須,"Necessary",kanji
"へん",偏,"Biased",kanji
"ぐう",遇,"Treatment",kanji
"りょう",糧,"Provisions",kanji
"しゅ",殊,"Especially",kanji
"まん",慢,"Ridicule",kanji
"ぼつ",没,"Die",kanji
"たい",怠,"Lazy",kanji
"そう",遭,"Encounter",kanji
"だ",惰,"Lazy",kanji
"りょう",猟,"Hunting",kanji
"ない",乃,"From",kanji
"あや",綾,"Design",kanji
"さつ",颯,"Quick",kanji
"はやぶさ",隼,"Falcon",kanji
"すけ",輔,"Help",kanji
"かん",寛,"Tolerance",kanji
"ほう",胞,"Cell",kanji
"じょう",浄,"Cleanse",kanji
"ずい",随,"All",kanji
"こう",稿,"Draft",kanji
"たん",丹,"Rust Colored",kanji
"じょう",壌,"Soil",kanji
