"じょうひん",上品,"Elegant",vocabulary
"おおさかべん",大阪弁,"Osaka Dialect",vocabulary
"かんさいべん",関西弁,"Kansai Dialect",vocabulary
"どようび",土曜日,"Saturday",vocabulary
"にちようび",日曜日,"Sunday",vocabulary
"げつようび",月曜日,"Monday",vocabulary
"もくようび",木曜日,"Thursday",vocabulary
"すいようび",水曜日,"Wednesday",vocabulary
"りゅうがくせい",留学生,"Exchange Student",vocabulary
"おわらい",お笑い,"Comedy",vocabulary
"てにもつ",手荷物,"Hand Baggage",vocabulary
"しょうめいしょ",証明書,"Certificate",vocabulary
"わらい",笑い,"A Laugh",vocabulary
"しゃくよう",借用,"Borrowing",vocabulary
"かりる",借りる,"To Borrow",vocabulary
"しゃっきん",借金,"Debt",vocabulary
"しゃくや",借家,"Renting A House",vocabulary
"そういん",僧院,"Temple",vocabulary
"ぶっそう",仏僧,"Buddhist Priest",vocabulary
"きりとる",切り取る,"To Cut Off",vocabulary
"とりだす",取り出す,"To Pick Out",vocabulary
"とりわけ",取り分け,"Especially",vocabulary
"とりきめ",取り決め,"Arrangement",vocabulary
"もんく",文句,"Complaint",vocabulary
"きんく",禁句,"Taboo Word",vocabulary
"かわいい",可愛い,"Cute",vocabulary
"きょか",許可,"Permission",vocabulary
"かぶん",可分,"Divisible",vocabulary
"ふかけつ",不可欠,"Indispensable",vocabulary
"こくはく",告白,"Confession",vocabulary
"つげる",告げる,"To Announce",vocabulary
"こうこく",広告,"Advertisement",vocabulary
"よこく",予告,"Advance Notice",vocabulary
"こうこく",公告,"Public Notice",vocabulary
"ほうこく",報告,"Report",vocabulary
"きつえん",喫煙,"Smoking",vocabulary
"きっさてん",喫茶店,"Tea House",vocabulary
"じょうほう",情報,"Information",vocabulary
"よほう",予報,"Forecast",vocabulary
"ほうじる",報じる,"To Report On",vocabulary
"ほうどう",報道,"News Report",vocabulary
"おまもり",お守り,"Amulet",vocabulary
"るすばん",留守番,"Caretaker",vocabulary
"せいざ",正座,"Seiza",vocabulary
"ざぜん",座禅,"Zen Meditation",vocabulary
"ざせき",座席,"Seat",vocabulary
"ぎんざ",銀座,"Ginza",vocabulary
"えきべん",駅弁,"Train Station Bento",vocabulary
"ゆみ",弓,"Bow",vocabulary
"きゅうどう",弓道,"Archery",vocabulary
"わすれる",忘れる,"To Forget",vocabulary
"ぼうねんかい",忘年会,"Year End Party",vocabulary
"したがき",下書き,"Rough Draft",vocabulary
"かきいれる",書き入れる,"To Write In",vocabulary
"かきかた",書き方,"Penmanship",vocabulary
"かきなおす",書き直す,"To Rewrite",vocabulary
"なんまい",何枚,"How Many Flat Objects",vocabulary
"まいすう",枚数,"Number Of Sheets",vocabulary
"ごまい",五枚,"Five Flat Objects",vocabulary
"あらう",洗う,"To Wash",vocabulary
"せんしゃ",洗車,"Car Wash",vocabulary
"せんれん",洗練,"Refinement",vocabulary
"やく",焼く,"To Bake",vocabulary
"ひやけ",日焼け,"Sunburn",vocabulary
"やきとり",焼き鳥,"Roast Chicken",vocabulary
