ほうこう	方向	Direction	6	vocabulary	noun
ねんじ	年次	Annual	6	vocabulary	noun
かっき	活気	Energy	6	vocabulary	noun
ち	地	Earth	6	vocabulary	noun
ちょっこう	直行	Nonstop	6	vocabulary	noun, する verb, の adjective
たからくじ	宝くじ	Lottery	6	vocabulary	noun
みみうち	耳打ち	Whisper In Ear	6	vocabulary	noun, する verb
すべて	全て	All	6	vocabulary	noun, の adjective
めいきょく	名曲	Famous Music	6	vocabulary	noun
じかい	次回	Next Time	6	vocabulary	noun
ひつじ	羊	Sheep	6	vocabulary	noun
しゅっけつ	出血	Bleeding	6	vocabulary	noun, する verb
ちゅうごく	中国	China	6	vocabulary	proper noun
うしろ	後ろ	Behind	6	vocabulary	noun
よのなか	世の中	Society	6	vocabulary	noun
むく	向く	To Face	6	vocabulary	godan verb
くさち	草地	Meadow	6	vocabulary	noun
おおもじ	大文字	Uppercase Letters	6	vocabulary	noun
しかたがない	仕方がない	Can't Be Helped	6	vocabulary	expression
ぶんか	文化	Culture	6	vocabulary	noun
ちか	地下	Underground	6	vocabulary	noun, の adjective
とち	土地	Land	6	vocabulary	noun
ちず	地図	Map	6	vocabulary	noun
りょうて	両手	Both Hands	6	vocabulary	noun, の adjective
りょうじつ	両日	Both Days	6	vocabulary	noun
りょうほう	両方	Both	6	vocabulary	noun, の adjective
ぜんりょく	全力	Full Effort	6	vocabulary	noun, の adjective
ぜんにほん	全日本	All Japan	6	vocabulary	expression
あんぜん	安全	Safety	6	vocabulary	noun, な adjective
やすい	安い	Cheap	6	vocabulary	い adjective
あんしん	安心	Relief	6	vocabulary	noun, する verb, な adjective
ふあん	不安	Uneasiness	6	vocabulary	noun, な adjective
へいあん	平安	Peace	6	vocabulary	noun, な adjective
しゅう	州	State	6	vocabulary	noun
きゅうしゅう	九州	Kyuushuu	6	vocabulary	proper noun
ほんしゅう	本州	Honshuu	6	vocabulary	noun
きょく	曲	Tune	6	vocabulary	noun, suffix
ある	有る	To Have	6	vocabulary	intransitive verb, godan verb
ゆうめい	有名	Famous	6	vocabulary	な adjective
つぎ	次	Next	6	vocabulary	noun, の adjective
もくじ	目次	Table Of Contents	6	vocabulary	noun
しぬ	死ぬ	To Die	6	vocabulary	intransitive verb, godan verb
したい	死体	Dead Body	6	vocabulary	noun, の adjective
しぼう	死亡	Mortality	6	vocabulary	noun, の adjective
ようもう	羊毛	Wool	6	vocabulary	noun, の adjective
ち	血	Blood	6	vocabulary	noun
くに	国	Country	6	vocabulary	noun
てんごく	天国	Kingdom Of Heaven	6	vocabulary	noun, の adjective
ぜんこく	全国	Nationwide	6	vocabulary	noun, の adjective
しこく	四国	Shikoku	6	vocabulary	proper noun
がいこく	外国	Foreign Country	6	vocabulary	noun, の adjective
がいこくじん	外国人	Foreign Person	6	vocabulary	noun
べいこく	米国	United States Of America	6	vocabulary	proper noun, の adjective
よる	夜	Night	6	vocabulary	noun
こんや	今夜	Tonight	6	vocabulary	noun
しまい	姉妹	Sisters	6	vocabulary	noun
いもうと	妹	Younger Sister	6	vocabulary	noun
おねえさん	お姉さん	Older Sister	6	vocabulary	noun
みせ	店	Shop	6	vocabulary	noun
あかるい	明るい	Bright	6	vocabulary	い adjective
ふめい	不明	Unknown	6	vocabulary	noun, な adjective
とうほう	東方	Eastward	6	vocabulary	noun
とうほく	東北	Tohoku 	6	vocabulary	noun
ちゅうとう	中東	Middle East	6	vocabulary	proper noun, な adjective
なんとう	南東	Southeast	6	vocabulary	noun, の adjective
あるく	歩く	To Walk	6	vocabulary	intransitive verb, godan verb
なおす	直す	To Fix	6	vocabulary	transitive verb, godan verb
なおる	直る	To Be Fixed	6	vocabulary	intransitive verb, godan verb
しょうじき	正直	Honest	6	vocabulary	adverb, noun, な adjective
ながい	長い	Long	6	vocabulary	い adjective
しゃちょう	社長	Company President	6	vocabulary	noun, suffix
まえ	前	Front	6	vocabulary	noun, suffix
ごぜん	午前	AM	6	vocabulary	noun
みなみ	南	South	6	vocabulary	noun
あとで	後で	After	6	vocabulary	adverb
ごご	午後	PM	6	vocabulary	noun
おもう	思う	To Think	6	vocabulary	transitive verb, godan verb
ほし	星	Star	6	vocabulary	noun
せいかつ	生活	Life	6	vocabulary	noun, する verb
うみ	海	Ocean	6	vocabulary	noun
かいがい	海外	Overseas	6	vocabulary	noun, の adjective
てん	点	Point	6	vocabulary	noun, suffix
かがく	科学	Science	6	vocabulary	noun
おちゃ	お茶	Tea	6	vocabulary	noun
ちゃいろ	茶色	Brown	6	vocabulary	noun, の adjective
たべる	食べる	To Eat	6	vocabulary	transitive verb, ichidan verb
くび	首	Neck	6	vocabulary	noun
あしくび	足首	Ankle	6	vocabulary	noun
くびになる	首になる	To Get Fired	6	vocabulary	expression, godan verb
よんじゅうに	四十二	Forty Two	6	vocabulary	numeral
なくなる	亡くなる	To Pass Away	6	vocabulary	intransitive verb, godan verb
こもじ	小文字	Lowercase Letters	6	vocabulary	noun
ふゆやすみ	冬休み	Winter Holiday	6	vocabulary	noun
できる	出来る	To Be Able To Do	6	vocabulary	intransitive verb, ichidan verb
ほうげん	方言	Dialect	6	vocabulary	noun, の adjective
とうきょう	東京	Tokyo	6	vocabulary	proper noun
はやくち	早口	Fast Talker	6	vocabulary	noun, の adjective
たりない	足りない	Not Enough	6	vocabulary	intransitive verb
としうえ	年上	Older	6	vocabulary	noun, の adjective
かわり	代わり	Substitute	6	vocabulary	noun, の adjective
ことし	今年	This Year	6	vocabulary	noun
かえる	代える	To Replace	6	vocabulary	transitive verb, ichidan verb
