じょう	上	Above	1	kanji	じょう:on, うえ:kun, あ:kun, のぼ:kun, うわ:kun, かみ:kun
いち	一	One	1	kanji	いち:on, いつ:on, ひと:kun, かず:nan
に	二	Two	1	kanji	に:on, ふた:kun
く	九	Nine	1	kanji	く:on, きゅう:on, ここの:kun
しち	七	Seven	1	kanji	しち:on, なな:kun, なの:kun
にん	人	Person	1	kanji	にん:on, じん:on, ひと:kun, と:kun
にゅう	入	Enter	1	kanji	にゅう:on, はい:kun, い:kun
はち	八	Eight	1	kanji	はち:on, や:kun, よう:kun
りょく	力	Power	1	kanji	りょく:on, りき:on, ちから:kun
じゅう	十	Ten	1	kanji	じゅう:on, とお:kun
さん	三	Three	1	kanji	さん:on, み:kun
か	下	Below	1	kanji	か:on, げ:on, した:kun, さ:kun, くだ:kun, お:kun
こう	口	Mouth	1	kanji	こう:on, く:on, くち:kun
たい	大	Big	1	kanji	たい:on, だい:on, おお:kun, ひろ:nan
じょ	女	Woman	1	kanji	じょ:on, おんな:kun, め:kun
さん	山	Mountain	1	kanji	さん:on, やま:kun
かわ	川	River	1	kanji	かわ:kun, せん:on
こう	工	Construction	1	kanji	こう:on, く:on
しゅつ	出	Exit	2	kanji	しゅつ:on, で:kun, だ:kun
とう	刀	Sword	2	kanji	とう:on, かたな:kun
ゆう	夕	Evening	2	kanji	ゆう:kun, せき:on
りょう	了	Finish	2	kanji	りょう:on
また	又	Again	2	kanji	また:kun
もく	木	Tree	2	kanji	もく:on, ぼく:on, き:kun, こ:kun
すい	水	Water	2	kanji	すい:on, みず:kun
か	火	Fire	2	kanji	か:on, ひ:kun, ほ:kun
たま	玉	Ball	2	kanji	たま:kun, ぎょく:on
ど	土	Dirt	2	kanji	ど:on, と:on, つち:kun
せん	千	Thousand	2	kanji	せん:on, ち:kun
し	子	Child	2	kanji	し:on, す:on, こ:kun
しょう	小	Small	2	kanji	しょう:on, ちい:kun, こ:kun, お:kun
ちょう	丁	Street	2	kanji	ちょう:on, てい:on
まる	丸	Circle	2	kanji	まる:kun, がん:on
さい	才	Genius	2	kanji	さい:on
ちゅう	中	Middle	2	kanji	ちゅう:on, なか:kun
ご	五	Five	2	kanji	ご:on, いつ:kun
ろく	六	Six	2	kanji	ろく:on, む:kun
えん	円	Yen	2	kanji	えん:on, まる:kun
てん	天	Heaven	2	kanji	てん:on, あま:kun
て	手	Hand	2	kanji	て:kun, しゅ:on, ず:on
ぶん	文	Writing	2	kanji	ぶん:on, もん:on
にち	日	Sun	2	kanji	にち:on, じつ:on, ひ:kun, か:kun, び:kun
げつ	月	Moon	2	kanji	げつ:on, がつ:on, つき:kun
いぬ	犬	Dog	2	kanji	いぬ:kun, けん:on
おう	王	King	2	kanji	おう:on
ゆう	右	Right	2	kanji	ゆう:on, う:on, みぎ:kun
し	四	Four	2	kanji	し:on, よん:kun, よ:kun
さ	左	Left	2	kanji	さ:on, ひだり:kun
ほん	本	Book	2	kanji	ほん:on, もと:kun
せい	正	Correct	2	kanji	せい:on, しょう:on, ただ:kun, まさ:kun
た	田	Rice Paddy	2	kanji	た:kun, でん:on
はく	白	White	2	kanji	はく:on, しろ:kun, しら:kun
め	目	Eye	2	kanji	め:kun, もく:on
りつ	立	Stand	2	kanji	りつ:on, りゅう:on, た:kun
のま	々	Repeater	2	kanji	のま:kun
ご	午	Noon	3	kanji	ご:on
しょう	少	Few	3	kanji	しょう:on, すこ:kun, すく:kun
ぎゅう	牛	Cow	3	kanji	ぎゅう:on, うし:kun
はん	半	Half	3	kanji	はん:on, なか:kun
こん	今	Now	3	kanji	こん:on, いま:kun
せつ	切	Cut	3	kanji	せつ:on, き:kun
ひ	引	Pull	3	kanji	ひ:kun, いん:on
し	止	Stop	3	kanji	し:on, と:kun, や:kun
こ	古	Old	3	kanji	こ:on, ふる:kun
がい	外	Outside	3	kanji	がい:on, そと:kun, はず:kun
や	矢	Arrow	3	kanji	や:kun, し:on
まん	万	Ten Thousand	3	kanji	まん:on, ばん:on
げん	元	Origin	3	kanji	げん:on, がん:on, もと:kun
こう	公	Public	3	kanji	こう:on
ない	内	Inside	3	kanji	ない:on, うち:kun
ぶん	分	Part	3	kanji	ぶん:on, ふん:on, ぶ:on, わ:kun
ゆう	友	Friend	3	kanji	ゆう:on, とも:kun
たい	太	Fat	3	kanji	たい:on, た:on, ふと:kun, おお:nan
しん	心	Heart	3	kanji	しん:on, こころ:kun
と	戸	Door	3	kanji	と:kun, こ:on
ほう	方	Direction	3	kanji	ほう:on, かた:kun
ちち	父	Father	3	kanji	ちち:kun, とう:kun, ふ:on
もう	毛	Fur	3	kanji	もう:on, け:kun
ふゆ	冬	Winter	3	kanji	ふゆ:kun, とう:on
ほく	北	North	3	kanji	ほく:on, きた:kun
だい	台	Machine	3	kanji	だい:on, たい:on
し	市	City	3	kanji	し:on, いち:kun
ひろ	広	Wide	3	kanji	ひろ:kun, こう:on
はは	母	Mother	3	kanji	はは:kun, かあ:kun, ぼ:on
よう	用	Task	3	kanji	よう:on, もち:kun
せい	生	Life	3	kanji	せい:on, しょう:on, い:kun, なま:kun, う:kun, は:kun, き:kun
しゅ	主	Master	4	kanji	しゅ:on, おも:kun, ぬし:kun
だい	代	Substitute	4	kanji	だい:on, か:kun, かわ:kun, しろ:kun
しゃ	写	Copy	4	kanji	しゃ:on, うつ:kun
おう	央	Center	4	kanji	おう:on
へい	平	Flat	4	kanji	へい:on, ひょう:on, びょう:on, たい:kun, ひら:kun
こおり	氷	Ice	4	kanji	こおり:kun, ひょう:on
もう	申	Say Humbly	4	kanji	もう:kun, しん:on
れい	礼	Thanks	4	kanji	れい:on
せん	先	Previous	4	kanji	せん:on, さき:kun, まず:kun
たけ	竹	Bamboo	4	kanji	たけ:kun
むら	村	Village	4	kanji	むら:kun, そん:on
だん	男	Man	4	kanji	だん:on, なん:on, おとこ:kun
かい	貝	Shellfish	4	kanji	かい:kun
そく	足	Foot	4	kanji	そく:on, あし:kun, た:kun
し	仕	Doing	4	kanji	し:on, つか:kun
せき	石	Stone	4	kanji	せき:on, いし:kun
せ	世	World	4	kanji	せ:on, せい:on, よ:kun
た	他	Other	4	kanji	た:on, ほか:kun
きょ	去	Past	4	kanji	きょ:on, こ:on, さ:kun
ごう	号	Number	4	kanji	ごう:on
だ	打	Hit	4	kanji	だ:on, う:kun, ぶ:kun
さら	皿	Plate	4	kanji	さら:kun
きゅう	休	Rest	4	kanji	きゅう:on, やす:kun
めい	名	Name	4	kanji	めい:on, みょう:on, な:kun
じ	字	Letter	4	kanji	じ:on
ねん	年	Year	4	kanji	ねん:on, とし:kun
そう	早	Early	4	kanji	そう:on, はや:kun, さ:kun
き	気	Energy	4	kanji	き:on, け:on, いき:kun
ひゃく	百	Hundred	4	kanji	ひゃく:on, もも:kun
いと	糸	Thread	4	kanji	いと:kun, し:on
みみ	耳	Ear	4	kanji	みみ:kun, じ:on
むし	虫	Insect	4	kanji	むし:kun, ちゅう:on, き:on
ちょう	町	Town	4	kanji	ちょう:on, まち:kun
はな	花	Flower	4	kanji	はな:kun, か:on, け:on
み	見	See	4	kanji	み:kun, けん:on
あか	赤	Red	4	kanji	あか:kun, せき:on
しゃ	車	Car	4	kanji	しゃ:on, くるま:kun
ふ	不	Not	4	kanji	ふ:on, ぶ:on
ほう	宝	Treasure	4	kanji	ほう:on, たから:kun
こう	考	Think	5	kanji	こう:on, かんが:kun
かく	角	Angle	5	kanji	かく:on, かど:kun, つの:kun
げん	言	Say	5	kanji	げん:on, ごん:on, い:kun, こと:kun
そう	走	Run	5	kanji	そう:on, はし:kun
むぎ	麦	Wheat	5	kanji	むぎ:kun, ばく:on
くう	空	Sky	5	kanji	くう:on, そら:kun, あ:kun, から:kun, す:kun
ひ	皮	Skin	5	kanji	ひ:on, かわ:kun
かい	会	Meet	5	kanji	かい:on, あ:kun
こう	光	Sunlight	5	kanji	こう:on, ひかり:kun, ひか:kun
どう	同	Same	5	kanji	どう:on, おな:kun
かい	回	Times	5	kanji	かい:on, まわ:kun
た	多	Many	5	kanji	た:on, おお:kun
とう	当	Correct	5	kanji	とう:on, あ:kun
まい	毎	Every	5	kanji	まい:on, ごと:kun
じ	自	Self	5	kanji	じ:on, し:on
こう	行	Go	5	kanji	こう:on, ぎょう:on, い:kun, おこな:kun, ゆ:kun
たい	体	Body	5	kanji	たい:on, からだ:kun
さく	作	Make	5	kanji	さく:on, さ:on, つく:kun
こえ	声	Voice	5	kanji	こえ:kun, せい:on
けい	形	Shape	5	kanji	けい:on, ぎょう:on, かた:kun, かたち:kun
らい	来	Come	5	kanji	らい:on, く:kun
